url,sitemap_url,final_url,http_status,title,meta_description,h1,word_count,canonical,robots_meta,indexable,page_type,notes
"https://www.dimeindustries.us/","https://dimeindustries.us","","0","","","","0","","","false","homepage","timeout 12000ms"
"https://www.dimeindustries.us/shop","https://dimeindustries.us/shop","","0","","","","0","","","false","shop","timeout 12000ms"
"https://www.dimeindustries.us/wholesale","https://dimeindustries.us/wholesale","","","","","","","https://dimeindustries.us/wholesale","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations","https://dimeindustries.us/locations","","0","","","","0","","","false","location","timeout 12000ms"
"https://www.dimeindustries.us/about","https://dimeindustries.us/about","","0","","","","0","","","false","marketing","timeout 12000ms"
"https://www.dimeindustries.us/contact","https://dimeindustries.us/contact","","","","","","","https://dimeindustries.us/contact","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/blog","https://dimeindustries.us/blog","","0","","","","0","","","false","blog_index","timeout 12000ms"
"https://www.dimeindustries.us/faq","https://dimeindustries.us/faq","https://www.dimeindustries.us/faq","200","Frequently Asked Questions | DIME","Answers about DIME products, authenticity, rewards, stores, and shopping online.","FAQ","416","https://dimeindustries.us/faq","index, follow","true","marketing","Canonical uses apex host"
"https://www.dimeindustries.us/careers","https://dimeindustries.us/careers","","","","","","","https://dimeindustries.us/careers","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/promotions","https://dimeindustries.us/promotions","","","","","","","https://dimeindustries.us/promotions","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/links","https://dimeindustries.us/links","","","","","","","https://dimeindustries.us/links","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/cookies","https://dimeindustries.us/cookies","","","","","","","https://dimeindustries.us/cookies","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/validate","https://dimeindustries.us/validate","","","","","","","https://dimeindustries.us/validate","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/lab-results","https://dimeindustries.us/lab-results","","","","","","","https://dimeindustries.us/lab-results","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/rewards","https://dimeindustries.us/rewards","","","","","","","https://dimeindustries.us/rewards","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/app","https://dimeindustries.us/app","","","","","","","https://dimeindustries.us/app","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/assistant","https://dimeindustries.us/assistant","","","","","","","https://dimeindustries.us/assistant","","true","marketing","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/legal/terms","https://dimeindustries.us/legal/terms","","","","","","","https://dimeindustries.us/legal/terms","","true","legal","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/legal/privacy","https://dimeindustries.us/legal/privacy","","","","","","","https://dimeindustries.us/legal/privacy","","true","legal","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/legal/medical-privacy","https://dimeindustries.us/legal/medical-privacy","","","","","","","https://dimeindustries.us/legal/medical-privacy","","true","legal","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/legal/returns","https://dimeindustries.us/legal/returns","","","","","","","https://dimeindustries.us/legal/returns","","true","legal","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/legal/wholesale-rewards","https://dimeindustries.us/legal/wholesale-rewards","","","","","","","https://dimeindustries.us/legal/wholesale-rewards","","true","legal","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations/california","https://dimeindustries.us/locations/california","","","","","","","https://dimeindustries.us/locations/california","","true","location","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations/massachusetts","https://dimeindustries.us/locations/massachusetts","","","","","","","https://dimeindustries.us/locations/massachusetts","","true","location","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations/arizona","https://dimeindustries.us/locations/arizona","","","","","","","https://dimeindustries.us/locations/arizona","","true","location","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations/montana","https://dimeindustries.us/locations/montana","","","","","","","https://dimeindustries.us/locations/montana","","true","location","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations/nevada","https://dimeindustries.us/locations/nevada","","","","","","","https://dimeindustries.us/locations/nevada","","true","location","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations/new-jersey","https://dimeindustries.us/locations/new-jersey","","","","","","","https://dimeindustries.us/locations/new-jersey","","true","location","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations/new-mexico","https://dimeindustries.us/locations/new-mexico","","","","","","","https://dimeindustries.us/locations/new-mexico","","true","location","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations/new-york","https://dimeindustries.us/locations/new-york","","","","","","","https://dimeindustries.us/locations/new-york","","true","location","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/locations/oklahoma","https://dimeindustries.us/locations/oklahoma","","","","","","","https://dimeindustries.us/locations/oklahoma","","true","location","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/shop/vapes","https://dimeindustries.us/shop/vapes","","0","","","","0","","","false","category","timeout 12000ms"
"https://www.dimeindustries.us/shop/edibles","https://dimeindustries.us/shop/edibles","","","","","","","https://dimeindustries.us/shop/edibles","","true","category","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/shop/prerolls","https://dimeindustries.us/shop/prerolls","","","","","","","https://dimeindustries.us/shop/prerolls","","true","category","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/shop/accessories","https://dimeindustries.us/shop/accessories","","","","","","","https://dimeindustries.us/shop/accessories","","true","category","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/shop/bundles","https://dimeindustries.us/shop/bundles","","","","","","","https://dimeindustries.us/shop/bundles","","true","category","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/shop/vapes/signature","https://dimeindustries.us/shop/vapes/signature","","","","","","","https://dimeindustries.us/shop/vapes/signature","","true","line","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/shop/vapes/live-reserve","https://dimeindustries.us/shop/vapes/live-reserve","","","","","","","https://dimeindustries.us/shop/vapes/live-reserve","","true","line","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/shop/vapes/balanced","https://dimeindustries.us/shop/vapes/balanced","","","","","","","https://dimeindustries.us/shop/vapes/balanced","","true","line","Listed in sitemap; HTML not deep-crawled in this pass"
"https://www.dimeindustries.us/shop/vapes/rosin","https://dimeindustries.us/shop/vapes/rosin","","0","","","","0","","","false","line","timeout 12000ms"
"https://www.dimeindustries.us/shop/vapes/state-exclusive","https://dimeindustries.us/shop/vapes/state-exclusive","","","","","","","https://dimeindustries.us/shop/vapes/state-exclusive","","true","line","Listed in sitemap; HTML not deep-crawled in this pass"
